brewery,geometry,foundingYear,wikidata-entry
Baudenkmal D-5-64-000-1910 in Nürnberg im Ortsteil Nürnberg-Lorenz,Point(11.066882847 49.448824372),,http://www.wikidata.org/entity/Q98606698
Sudhaus Frankfurter Straße 87 in Würzburg (D-6-63-000-136#2),Point(9.893540167 49.794136237),,http://www.wikidata.org/entity/Q98497107
Brauerei Am Hofbräuhaus 1 in Coburg (D-4-63-000-371#1),Point(10.957650771 50.25352911),,http://www.wikidata.org/entity/Q98587861
Brauereigebäude,Point(9.07713 49.91907),,http://www.wikidata.org/entity/Q41291052
Brauerei Königstadt,Point(13.412856 52.530206),,http://www.wikidata.org/entity/Q32665027
Ehemalige Brauerei,Point(10.16129 49.73715),,http://www.wikidata.org/entity/Q41352057
Brauerei Heubsch 43; Papiermühle in Kasendorf (D-4-77-124-39#1),Point(11.378461174 50.046015752),,http://www.wikidata.org/entity/Q98587856
Brauhaus Am Markt 8 in Weismain (D-4-78-176-177#1),Point(11.24071682 50.085732955),,http://www.wikidata.org/entity/Q98587010
Brauerei Unterkotzauer Weg 11 in Hof (Saale) (D-4-64-000-267#4),Point(11.911930629 50.322510105),,http://www.wikidata.org/entity/Q98587857
Brauerei Marienweiher 30 in Marktleugast (D-4-77-138-29#1),Point(11.636941193 50.158266585),,http://www.wikidata.org/entity/Q98587855
Klosterbräuhaus Steingaden,Point(10.862781689 47.700127694),,http://www.wikidata.org/entity/Q19963759
Wuth’sche Brauerei,Point(8.25635 50.04359),,http://www.wikidata.org/entity/Q96279959
Sudhaus Am Hofbräuhaus 3 in Coburg (D-4-63-000-371#8),Point(10.957033177 50.253717169),,http://www.wikidata.org/entity/Q98588835
Brauhaus St.-Martin-Straße 26 in Scheßlitz (D-4-71-185-238#3),Point(11.07368257 50.011676109),,http://www.wikidata.org/entity/Q98587012
"Kunsthandwerkerhof, ehemalige Brauerei, dreiteiliger Bau",Point(10.56799 50.08258),,http://www.wikidata.org/entity/Q41323546
Kindl-Brauerei,Point(13.470430555 52.541972222),,http://www.wikidata.org/entity/Q23706030
Brauereigebäude,Point(10.134829737 49.69690766),,http://www.wikidata.org/entity/Q41352480
Kronenbrauerei Hardering,Point(6.58072 51.630568),,http://www.wikidata.org/entity/Q19942851
Brauerei Hübner Mosbach,Point(9.149667097 49.353305118),,http://www.wikidata.org/entity/Q95219774
Brauereigasthof,Point(11.41845 49.68187),,http://www.wikidata.org/entity/Q41393687
Brauereigasthof Eschenfelden,Point(11.6168807 49.5796856),,http://www.wikidata.org/entity/Q41404588
Zipf-Bräu,Point(9.655341944 49.619606111),,http://www.wikidata.org/entity/Q42632144
Sudhaus,Point(10.551432651 49.889084128),,http://www.wikidata.org/entity/Q98496805
Sudhaus Am Hofbräuhaus 3 in Coburg (D-4-63-000-371#2),Point(10.957377766 50.253690382),,http://www.wikidata.org/entity/Q98588838
