place_name,feature_type,latitude,longitude
Sideling Hill,T,39.87231,-78.2089
Sinking Spring,,40.32731,-76.01105
Six Nations towns,,43.05528,-80.02611
Skehantowa Shawnee center on the Susquehanna,,42.95008,-82.11651
Sodus Point,S,43.27031,-76.98338
Somerset,,39.80701,-82.29709
Somerset,,40.00841,-79.07808
Somerset County,,38.08007,-75.85347
South America,,37.70894,-88.67617
South Branch,,47.91671,-59.03186
South Carolina,,34.00043,-81.00009
South Huron Strait,,43.31679,-81.51647
South Sea Islands,,31.50161,-81.1262
Southbury,,41.48148,-73.21317
Spring Garden,,33.97288,-85.55385
Springfield,,39.92423,-83.80882
St. Clair River,H,42.55008,-82.66654
St. Croix,,44.96182,-64.0327
St. John,,48.93348,-80.88307
St. Joseph River,H,49.80028,-84.03139
St. Lawrence River,H,49.66683,-64.49869
St. Marys River,H,52.31178,-55.8391
St. Thomas,,47.56659,-52.89806
Staten Island,,40.56233,-74.13986
Steuben County,,42.26781,-77.3838
Steubenville,,40.36979,-80.63396
Stillwater Creek,H,48.96681,-88.26673
Stillwater Creek,H,40.42423,-81.37178
Stissing Mountain,T,41.95648,-73.69263
Stockbridge,,42.28759,-73.32039
Stone Creek,H,40.49173,-81.47651
Stone Creek,H,50.43337,-91.53355
Stone River,H,50.66682,-87.46666
Stony Creek,H,40.30477,-83.9291
Stony Creek,H,41.9431,-83.30299
Stony Point,S,41.95255,-83.27743
Stoystown,,40.10341,-78.94947
Straits,,34.72905,-76.57104
Stratford,,41.18454,-73.13317
Stromness,,42.87306,-79.54556
Stroudsburg,,40.98676,-75.19462
Susquehanna,,41.94341,-75.59963
Sussex County,,41.13946,-74.69023
Swan Creek,H,43.6334,-80.43299
Swan River,H,45.39224,-83.73499
Swatara Creek,H,40.18537,-76.73247
Switzerland,,47.00016,8.01427
Ta-ne-wan-di,,43.03341,-79.83293
Tahiti,,36.1007,-115.2108
Tenk-han-neck,,42.91679,-81.41646
Tennessee,,35.75035,-86.25027
Thames River,H,42.31679,-82.44981
Ti-a-o-ga,,33.06819,-93.18517
Tinkers Creek Cuyahoga County,H,41.36505,-81.60985
Tioga,,44.22528,-79.96722
Tioga Point,S,41.97257,-76.52744
Tioga River,H,42.15202,-77.09025
Tioga River or Creek,H,42.15202,-77.09025
